Metric,Value
Accuracy,0.938
Loss,6.808457584381103

Class,Precision,Recall,F1-Score
1,0.5,0.5,0.5
2,1.0,1.0,1.0
3,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
16,1.0,1.0,1.0
17,1.0,1.0,1.0
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,1.0,1.0,1.0
32,1.0,1.0,1.0
33,1.0,1.0,1.0
37,1.0,1.0,1.0
38,1.0,1.0,1.0
39,1.0,1.0,1.0
49,1.0,1.0,1.0
50,1.0,1.0,1.0
51,1.0,1.0,1.0
57,1.0,1.0,1.0
70,1.0,1.0,1.0
73,1.0,1.0,1.0
75,1.0,1.0,1.0
78,0.5,1.0,0.6666666666666666
79,1.0,1.0,1.0
81,1.0,1.0,1.0
84,1.0,1.0,1.0
90,1.0,1.0,1.0
94,1.0,1.0,1.0
97,1.0,1.0,1.0
99,1.0,1.0,1.0
100,1.0,1.0,1.0
104,1.0,1.0,1.0
107,1.0,1.0,1.0
111,0.0,0.0,0.0
112,1.0,1.0,1.0
113,1.0,1.0,1.0
114,1.0,1.0,1.0
117,1.0,1.0,1.0
119,1.0,1.0,1.0
120,1.0,1.0,1.0
127,0.0,0.0,0.0
129,0.0,0.0,0.0
130,1.0,1.0,1.0
131,0.0,0.0,0.0
132,1.0,1.0,1.0
133,0.5,1.0,0.6666666666666666
137,1.0,1.0,1.0
140,1.0,1.0,1.0
141,1.0,1.0,1.0
142,1.0,1.0,1.0
143,1.0,1.0,1.0
144,1.0,1.0,1.0
146,1.0,1.0,1.0
150,1.0,1.0,1.0
157,1.0,1.0,1.0
160,1.0,1.0,1.0
227,1.0,1.0,1.0
229,1.0,1.0,1.0
239,1.0,1.0,1.0
243,1.0,1.0,1.0
251,1.0,1.0,1.0
253,1.0,1.0,1.0
259,1.0,1.0,1.0
264,1.0,1.0,1.0
280,1.0,1.0,1.0
283,1.0,1.0,1.0
284,1.0,1.0,1.0
287,1.0,1.0,1.0
293,1.0,1.0,1.0
295,1.0,1.0,1.0
296,1.0,1.0,1.0
299,1.0,1.0,1.0
300,1.0,1.0,1.0
301,1.0,1.0,1.0
302,1.0,1.0,1.0
303,1.0,1.0,1.0
304,1.0,1.0,1.0
305,1.0,1.0,1.0
306,1.0,1.0,1.0
307,1.0,1.0,1.0
308,1.0,1.0,1.0
309,1.0,1.0,1.0
310,1.0,1.0,1.0
311,1.0,1.0,1.0
312,1.0,1.0,1.0
315,1.0,1.0,1.0
317,1.0,0.75,0.8571428571428571
318,0.5,1.0,0.6666666666666666
319,1.0,1.0,1.0
320,1.0,1.0,1.0
321,1.0,1.0,1.0
322,1.0,1.0,1.0
323,1.0,1.0,1.0
324,1.0,1.0,1.0
325,0.0,0.0,0.0
326,1.0,1.0,1.0
327,1.0,1.0,1.0
328,0.5,1.0,0.6666666666666666
331,1.0,1.0,1.0
335,1.0,1.0,1.0
336,1.0,1.0,1.0
338,1.0,1.0,1.0
340,1.0,1.0,1.0
341,1.0,1.0,1.0
344,1.0,1.0,1.0
346,1.0,1.0,1.0
347,1.0,1.0,1.0
348,1.0,1.0,1.0
351,0.0,0.0,0.0
353,0.5,1.0,0.6666666666666666
355,1.0,1.0,1.0
360,1.0,1.0,1.0
362,1.0,1.0,1.0
366,1.0,1.0,1.0
383,1.0,1.0,1.0
385,1.0,1.0,1.0
386,1.0,1.0,1.0
388,1.0,1.0,1.0
389,0.0,0.0,0.0
391,1.0,0.5,0.6666666666666666
395,0.0,0.0,0.0
396,1.0,1.0,1.0
399,1.0,1.0,1.0
400,1.0,1.0,1.0
401,0.0,0.0,0.0
402,1.0,1.0,1.0
403,1.0,1.0,1.0
404,1.0,1.0,1.0
406,1.0,1.0,1.0
407,1.0,1.0,1.0
409,0.0,0.0,0.0
411,0.5,1.0,0.6666666666666666
415,1.0,1.0,1.0
416,1.0,1.0,1.0
417,0.8,1.0,0.888888888888889
421,1.0,1.0,1.0
422,1.0,1.0,1.0
425,1.0,1.0,1.0
427,1.0,1.0,1.0
429,1.0,1.0,1.0
430,1.0,1.0,1.0
432,0.0,0.0,0.0
433,1.0,1.0,1.0
436,1.0,1.0,1.0
437,1.0,1.0,1.0
438,1.0,1.0,1.0
439,1.0,1.0,1.0
440,1.0,1.0,1.0
441,1.0,1.0,1.0
442,1.0,0.8,0.888888888888889
448,1.0,1.0,1.0
450,1.0,1.0,1.0
454,1.0,1.0,1.0
455,1.0,0.3333333333333333,0.5
457,1.0,1.0,1.0
458,0.8333333333333334,1.0,0.9090909090909091
464,0.5,1.0,0.6666666666666666
467,1.0,1.0,1.0
468,1.0,0.8,0.888888888888889
469,1.0,1.0,1.0
470,1.0,1.0,1.0
471,1.0,1.0,1.0
472,1.0,1.0,1.0
474,1.0,1.0,1.0
475,1.0,1.0,1.0
476,1.0,0.8,0.888888888888889
478,1.0,1.0,1.0
479,1.0,1.0,1.0
480,1.0,0.75,0.8571428571428571
483,1.0,1.0,1.0
486,1.0,1.0,1.0
487,1.0,1.0,1.0
489,1.0,1.0,1.0
492,1.0,1.0,1.0
497,0.8333333333333334,1.0,0.9090909090909091
498,1.0,1.0,1.0
500,0.0,0.0,0.0
502,0.0,0.0,0.0
504,1.0,1.0,1.0
510,1.0,1.0,1.0
511,1.0,1.0,1.0
513,1.0,1.0,1.0
514,0.0,0.0,0.0
517,1.0,0.6,0.7499999999999999
518,1.0,1.0,1.0
519,1.0,1.0,1.0
520,1.0,1.0,1.0
521,1.0,1.0,1.0
525,0.6666666666666666,1.0,0.8
526,1.0,1.0,1.0
528,1.0,1.0,1.0
530,0.0,0.0,0.0
531,0.5,1.0,0.6666666666666666
532,1.0,1.0,1.0
533,1.0,1.0,1.0
535,1.0,1.0,1.0
536,1.0,1.0,1.0
537,1.0,1.0,1.0
538,1.0,0.75,0.8571428571428571
539,0.5,1.0,0.6666666666666666
540,0.5,1.0,0.6666666666666666
541,1.0,1.0,1.0
544,1.0,1.0,1.0
545,1.0,1.0,1.0
546,1.0,1.0,1.0
547,1.0,0.8,0.888888888888889
554,1.0,1.0,1.0
555,1.0,1.0,1.0
557,1.0,1.0,1.0
559,1.0,1.0,1.0
560,1.0,1.0,1.0
561,0.0,0.0,0.0
562,1.0,1.0,1.0
563,1.0,1.0,1.0
565,0.8333333333333334,1.0,0.9090909090909091
566,1.0,1.0,1.0
567,0.0,0.0,0.0
569,1.0,1.0,1.0
570,1.0,1.0,1.0
571,1.0,1.0,1.0
572,1.0,1.0,1.0
573,1.0,1.0,1.0
576,1.0,1.0,1.0
579,1.0,0.5,0.6666666666666666
580,1.0,1.0,1.0
581,1.0,0.5,0.6666666666666666
582,0.8333333333333334,1.0,0.9090909090909091
584,0.0,0.0,0.0
590,1.0,1.0,1.0
591,1.0,1.0,1.0
594,1.0,1.0,1.0
595,1.0,1.0,1.0
597,1.0,0.6666666666666666,0.8
599,0.0,0.0,0.0
603,1.0,1.0,1.0
605,1.0,1.0,1.0
606,1.0,1.0,1.0
607,1.0,1.0,1.0
608,1.0,1.0,1.0
609,1.0,1.0,1.0
610,1.0,1.0,1.0
614,1.0,1.0,1.0
616,1.0,1.0,1.0
617,1.0,1.0,1.0
619,1.0,1.0,1.0
622,0.0,0.0,0.0
624,0.75,1.0,0.8571428571428571
628,1.0,1.0,1.0
629,1.0,1.0,1.0
630,1.0,1.0,1.0
632,1.0,1.0,1.0
634,1.0,1.0,1.0
637,1.0,1.0,1.0
640,1.0,1.0,1.0
644,1.0,1.0,1.0
645,0.0,0.0,0.0
646,1.0,1.0,1.0
649,1.0,1.0,1.0
652,0.8,1.0,0.888888888888889
654,0.75,1.0,0.8571428571428571
656,1.0,1.0,1.0
659,1.0,1.0,1.0
661,1.0,1.0,1.0
663,0.8,1.0,0.888888888888889
665,1.0,1.0,1.0
667,1.0,1.0,1.0
668,1.0,1.0,1.0
670,1.0,1.0,1.0
671,1.0,1.0,1.0
672,1.0,0.8,0.888888888888889
675,1.0,1.0,1.0
679,1.0,1.0,1.0
682,1.0,1.0,1.0
685,1.0,1.0,1.0
687,1.0,1.0,1.0
